statute,description,subject_no,trr_id
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329809,97669
9-76-145,BROADCAST OR RECORDED SOUND RESTRICTION,19329809,97669
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19329880,97670
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329880,97670
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19329880,97670
9-52-020,RIDING BICYCLE ON SIDEWALK,19329880,97670
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19329908,97671
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19329908,97671
720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19329908,97671
720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19329908,97671
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329908,97671
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19329908,97672
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19329908,97672
720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19329908,97672
720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19329908,97672
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329908,97672
625 ILCS 5.0/11-1412.1,IVC - DRIVING ON SIDEWALK,19329903,97673
625 ILCS 5.0/11-204-A,IVC - FLEEING/ATTEMPT ELUDE OFF 3+,19329903,97673
625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19329903,97673
625 ILCS 5.0/11-503-A-1,IVC - RECKLESS DRIVING,19329903,97673
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19329903,97673
625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19329903,97673
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19329903,97673
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19329903,97673
9-24-010(B),STOP AT STOP SIGN,19329903,97673
9-40-200(B),OPERATOR SIGNAL REQUIRED 100FT OF TURN,19329903,97673
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329939,97674
8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19329939,97674
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329939,97675
8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19329939,97675
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329933,97676
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19329933,97676
720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,19329933,97676
720 ILCS 550.0/5-A,CANNABIS - MFG/DEL - LESS THAN 2.5 GRMS,19329933,97676
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19329959,97677
720 ILCS 5.0/11-9.4-1-C,SEX PRED/LOITER PUBLIC PARK,19329998,97678
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19329998,97678
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329998,97678
720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19329944,97679
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19329944,97679
720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,19329944,97679
720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,19329944,97679
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19329944,97679
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329944,97679
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19329944,97679
720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19329944,97680
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19329944,97680
720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,19329944,97680
720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,19329944,97680
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19329944,97680
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329944,97680
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19329944,97680
720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,19330035,97681
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330035,97681
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19330035,97681
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330116,97682
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330116,97682
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330105,97683
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19330105,97683
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330105,97683
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330105,97684
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19330105,97684
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330105,97684
720 ILCS 5.0/12-3.05-D-6,AGG BATTERY/GOVERNMENT EMP,19330005,97689
720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19330005,97689
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19330005,97689
720 ILCS 550.0/4-D,CANNABIS - POSSESS 30-500 GRMS,19330005,97689
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19330147,97690
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330147,97690
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330147,97690
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19330147,97692
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330147,97692
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330147,97692
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330167,97693
720 ILCS 5.0/12-2-B-4,AGG ASSAULT/PEACE OFFICER/WEAPON,19330167,97693
720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19330167,97693
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330167,97693
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19330139,97694
720 ILCS 5.0/32-10-B,VIOLATION BAIL BOND - FAMILY MEMBER,19330139,97694
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330162,97695
720 ILCS 5.0/12-2-B-4,AGG ASSAULT/PEACE OFFICER/WEAPON,19330162,97695
720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19330162,97695
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330162,97695
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330258,97696
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330258,97696
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19330258,97696
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19330258,97696
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330258,97697
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330258,97697
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19330258,97697
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19330258,97697
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330258,97698
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330258,97698
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19330258,97698
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19330258,97698
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19329880,97699
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19329880,97699
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19329880,97699
9-52-020,RIDING BICYCLE ON SIDEWALK,19329880,97699
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19330306,97700
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19330306,97700
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330306,97700
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19330306,97701
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19330306,97701
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330306,97701
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330258,97702
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330258,97702
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19330258,97702
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19330258,97702
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330492,97703
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19330492,97703
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330492,97703
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330492,97704
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19330492,97704
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330492,97704
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330507,97705
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19330507,97705
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330507,97705
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19330520,97706
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330520,97706
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19330520,97707
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330520,97707
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330492,97710
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19330492,97710
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330492,97710
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19330492,97711
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19330492,97711
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19330492,97711
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330574,97712
720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19330574,97712
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330574,97712
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19330588,97713
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19330588,97713
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330588,97713
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19330588,97713
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19330588,97713
720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON/PAROLE-POSSESS/USE FIREARM PRIOR,19330566,97714
720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON/PAROLE-POSSESS/USE FIREARM PRIOR,19330566,97715
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330590,97716
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330590,97716
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330590,97717
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330590,97717
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330590,97718
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330590,97718
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330590,97719
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330590,97719
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19330588,97720
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19330588,97720
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330588,97720
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19330588,97720
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19330588,97720
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330590,97721
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330590,97721
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19330588,97722
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19330588,97722
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330588,97722
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19330588,97722
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19330588,97722
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330590,97723
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330590,97723
720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES ,19330652,97724
720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES ,19330652,97725
720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19330777,97727
720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,19330777,97727
720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19330777,97728
720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,19330777,97728
625 ILCS 5.0/11-501-A-5,IVC - DUI ALC/INTOX COMPOUND/DRUG,19330429,97729
625 ILCS 5.0/11-503-A-1,IVC - RECKLESS DRIVING,19330429,97729
625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19330429,97729
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330429,97729
720 ILCS 5.0/12-3.05-F-1,AGG BATTERY/USE DEADLY WEAPON,19330429,97729
9-40-100(A),DRIVE TO LEFT OF CENTER,19330429,97729
625 ILCS 5.0/11-501-A-5,IVC - DUI ALC/INTOX COMPOUND/DRUG,19330429,97730
625 ILCS 5.0/11-503-A-1,IVC - RECKLESS DRIVING,19330429,97730
625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19330429,97730
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330429,97730
720 ILCS 5.0/12-3.05-F-1,AGG BATTERY/USE DEADLY WEAPON,19330429,97730
9-40-100(A),DRIVE TO LEFT OF CENTER,19330429,97730
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330987,97731
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330987,97731
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330987,97731
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19330987,97732
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19330987,97732
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19330987,97732
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,1933112,97733
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,1933112,97733
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,1933112,97733
720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,1933112,97733
720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19331203,97735
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19331203,97735
720 ILCS 5.0/24-1-A-2,UUW -  WEAPON - CARRY W/ INTENT KNIFE,19331203,97735
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331203,97735
720 ILCS 5.0/12-2-B-4,AGG ASSAULT/PEACE OFFICER/WEAPON,19331193,97736
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19331193,97736
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19331193,97736
720 ILCS 5.0/24-1.2-A-3,AGGR DISCHARGE FIREARM - PO/FIREMAN,19331193,97736
720 ILCS 5.0/24-1.2-A-4,AGG DISCH FIREARM/VEH/PC OFF/FIREMAN,19331193,97736
720 ILCS 5.0/9-1-A-1,MURDER - FIRST DEGREE,19331193,97736
720 ILCS 5.0/12-2-B-4,AGG ASSAULT/PEACE OFFICER/WEAPON,19331193,97737
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19331193,97737
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19331193,97737
720 ILCS 5.0/24-1.2-A-3,AGGR DISCHARGE FIREARM - PO/FIREMAN,19331193,97737
720 ILCS 5.0/24-1.2-A-4,AGG DISCH FIREARM/VEH/PC OFF/FIREMAN,19331193,97737
720 ILCS 5.0/9-1-A-1,MURDER - FIRST DEGREE,19331193,97737
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19331249,97738
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19331249,97738
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331249,97738
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19331249,97739
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19331249,97739
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331249,97739
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19331249,97740
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19331249,97740
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331249,97740
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19331277,97741
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331277,97741
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19331277,97741
9-52-020,RIDING BICYCLE ON SIDEWALK,19331277,97741
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19331338,97742
720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19331338,97742
720 ILCS 5.0/12-3.05-A-3,AGG BTRY/GREAT BOD HARM/PC OFF,19331261,97743
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19331261,97743
720 ILCS 5.0/12-3.05-A-3,AGG BTRY/GREAT BOD HARM/PC OFF,19331261,97744
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19331261,97744
720 ILCS 5.0/12-3.05-A-3,AGG BTRY/GREAT BOD HARM/PC OFF,19331261,97745
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19331261,97745
720 ILCS 5.0/12-3.05-A-3,AGG BTRY/GREAT BOD HARM/PC OFF,19331261,97747
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19331261,97747
720 ILCS 5.0/12-3.05-A-3,AGG BTRY/GREAT BOD HARM/PC OFF,19331261,97749
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19331261,97749
2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19331638,97750
720 ILCS 5.0/12-3.3-A,DOMESTIC BATTERY - AGGRAVATED,19331638,97750
2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19331638,97751
720 ILCS 5.0/12-3.3-A,DOMESTIC BATTERY - AGGRAVATED,19331638,97751
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19331758,97753
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19331758,97753
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331758,97753
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19331758,97754
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19331758,97754
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331758,97754
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331769,97755
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19331769,97755
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19331769,97755
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19331769,97755
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19331769,97755
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331769,97756
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19331769,97756
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19331769,97756
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19331769,97756
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19331769,97756
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331769,97757
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19331769,97757
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19331769,97757
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19331769,97757
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19331769,97757
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331769,97758
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19331769,97758
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19331769,97758
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19331769,97758
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19331769,97758
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331769,97759
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19331769,97759
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19331769,97759
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19331769,97759
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19331769,97759
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331769,97760
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19331769,97760
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19331769,97760
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19331769,97760
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19331769,97760
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331804,97761
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331804,97761
9-16-020(A),IMPROPER RIGHT TURN,19331804,97761
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331804,97762
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331804,97762
9-16-020(A),IMPROPER RIGHT TURN,19331804,97762
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19331804,97763
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331804,97763
9-16-020(A),IMPROPER RIGHT TURN,19331804,97763
720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19331870,97765
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19331870,97765
4-108-070,SMOKING IN A FILLING STATION,19331944,97766
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19331944,97766
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19332108,97768
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19332108,97768
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19332135,97769
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19332135,97769
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19332135,97769
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19332173,97770
